uuid,company_name,homepage_url
43507f7e-499b-5a28-7c75-f3c3b45e9785,AdminiQuest,http://www.adminiquest.com/
8188684c-9c3a-386b-3ca4-8012134da829,Brother’s Fence Co.,http://www.brothersfencecompany.com/
a8793a97-ecec-40f0-b607-43f3dfbd6c9f,"Career Connections, Inc.",http://careerconnections.info
5229b8fc-63ee-494f-8dee-d8d1353ad996,Compliance Management International,https://www.complianceplace.com/
3c37af77-13ba-0bcb-1468-297ecca19a56,Kandy Pens,http://kandypens.com/
d66f20d1-3e0f-0963-36bc-c4f06c0bb863,"DG Systems, Inc.",http://www.dgsystems.com
1edd7378-d24e-efa7-7ba1-7503bdc48239,Jumpin Jammerz,http://www.jumpinjammerz.com/
ef05ad12-5d17-76f1-a238-f88c3efa67e4,Personnel Concept Group,http://www.personnelconcept.com.au
39e3d41f-0220-0c2b-4685-a7b1e7c4395b,"Activate Marketing Services, LLC",http://www.activatems.com
290059c3-ab6a-cf4f-1473-082eb716e103,Sugarfina,https://www.sugarfina.com
c9a2d5da-192c-9870-e858-f8434b52c12a,Jiyo,https://www.jiyo.com/home
a016d0e0-0bd7-1ef7-bbc6-a452b674e195,GA Foods,http://www.sunmeadow.com
ddaf258d-7b91-4a7f-9594-892e731618ea,Summit Northwest,http://www.summitnw.com/
b8b99687-52cd-6c13-fdde-bd59a0677054,MedTouch,http://www.medtouch.com/
356c243d-ada5-e7cb-ca49-79dc5b535468,"ScoutDay, Inc.",http://www.scoutday.co
91a50ccd-8b60-ada4-d22e-8364da000fb8,Tutor Technologies,http://tutortechnologies.com
e9885938-1d33-a29e-bbcc-3c8999c66f95,Quantec Geoscience,http://www.quantecgeoscience.com
e6acdea0-07f2-486a-ba6c-f2025673752c,Moody Delivery,https://www.moodyburgers.co.uk
f69e85cb-74a2-53c9-3877-bf0c02da911b,LastSeat Inc.,http://www.lastseatapp.com
e6314a6b-6202-9129-37fd-fd963346a820,Used Equipment Guide,https://usedequipmentguide.com
ce664c17-9af8-a1ec-1b62-1d24ce5ca519,Value Partners,http://www.valuepartners.com/
3e30fc42-f017-819e-1537-4ccf55a98302,DuPage Divorce Attorneys Kulerski and Cornelison,http://civilizeddivorce.com
e2b2b286-e6a2-d324-fffa-2016b179af1d,Action Profiles,http://www.actionprofiles.com
8be83176-4dc6-0431-c18e-8efc7d4aa09a,Spinvector,http://www.spinvector.it/
ec6e31eb-f79b-2c45-1c84-d4aeff8bf851,AudioCubes,http://www.audiocubes.com
f68464c1-807e-9429-0426-3133d6764c6b,showpoo,http://www.17171.net
ffe1f0ff-c16c-48b8-94f5-0df0d516793d,Piscines Service Anjou,
5778d831-e720-d00e-898f-ad74fff5fed2,Brewster,http://www.brewster.com
eb45a0a6-b50d-0b22-86b5-19e8ac6f0ff2,boxx.ai,http://boxx.ai
8754abfe-23fa-0d7a-03b6-9dc337823344,Resolve Digital,http://resolvedigital.com
a6d4ce7c-b1d5-befa-5001-61f9bd4c28f8,MyTutor,http://www.mytutor.ca
95ebcdee-84d0-b497-6220-22dedf646247,Niagara County Community College,http://www.niagaracc.suny.edu/
645c9e9d-f9b6-0247-2628-05a44f52c07b,Octant,http://www.octant.com/
1b576d39-08c2-dbd0-4362-4193d5b1484a,Fadada.com,https://www.fadada.com/
03f683fa-2c7e-2a41-7baa-f1d5e4c2fee8,G4 Health Systems,http://www.g4healthsystems.com
352cd11c-cc15-82c1-f9c7-725434fd4a47,Antz,http://antz.global
a87dc35a-3d29-462c-9f0a-179f582cae02,Errorception,http://errorception.com
13dde7d4-290d-4925-9e5e-2b8e3f7a639f,Guangzhou Liby Enterprise Group Co.,
6a8ed0e7-f5bf-49d3-80ef-40d4495f9ed2,Zinco Global,http://www.zincoglobal.com/
814a9699-03cc-374a-b865-319543fc25b8,Raisal,http://www.raisal.com/
